ข้อที่,หมวด,ด้าน,ชื่อตัวชี้วัด (ไทย),หน่วยงานรับผิดชอบ,สถานะ,คะแนน (1-5),ลิงก์หลักฐาน,หมายเหตุ,อัปเดตล่าสุด
1,หมวด 1: การจัดการแหล่งท่องเที่ยว,ด้านที่ 1: ข้อตกลงและการจัดองค์กร,ผู้ประสานงานการพัฒนาแหล่งท่องเที่ยวอย่างยั่งยืน,"เทศบาลเมืองอุทัยธานี, สำนักงานจังหวัดอุทัยธานี",ยังไม่เริ่ม,,,,
2,หมวด 1: การจัดการแหล่งท่องเที่ยว,ด้านที่ 1: ข้อตกลงและการจัดองค์กร,โครงสร้างการจัดการ,"เทศบาลเมืองอุทัยธานี, สำนักงานจังหวัดอุทัยธานี",ยังไม่เริ่ม,,,,
3,หมวด 1: การจัดการแหล่งท่องเที่ยว,ด้านที่ 1: ข้อตกลงและการจัดองค์กร,ผู้ประสานงาน/ทีมงานที่ผ่านการอบรม,"เทศบาลเมืองอุทัยธานี, สำนักงานจังหวัดอุทัยธานี",ยังไม่เริ่ม,,,,
4,หมวด 1: การจัดการแหล่งท่องเที่ยว,ด้านที่ 1: ข้อตกลงและการจัดองค์กร,การมีส่วนร่วมของผู้มีส่วนได้ส่วนเสียที่เกี่ยวข้อง,"เทศบาลเมืองอุทัยธานี, สำนักงานจังหวัดอุทัยธานี",ยังไม่เริ่ม,,,,
5,หมวด 1: การจัดการแหล่งท่องเที่ยว,ด้านที่ 2: การวางแผนและการพัฒนา,คลังข้อมูลสินทรัพย์ของแหล่งท่องเที่ยว,"เทศบาลเมืองอุทัยธานี, สำนักงานจังหวัดอุทัยธานี, สำนักงานวัฒนธรรมจังหวัด, สำนักงานการท่องเที่ยวและกีฬาจังหวัด, ททท.สำนักงานอุทัยธานี",ยังไม่เริ่ม,,,,
6,หมวด 1: การจัดการแหล่งท่องเที่ยว,ด้านที่ 2: การวางแผนและการพัฒนา,การประเมินผลกระทบจากการท่องเที่ยว,"สำนักงานสถิติจังหวัด, สำนักงานการท่องเที่ยวและกีฬา, สำนักงานวัฒนธรรม, สำนักงานทรัพยากรธรรมชาติและสิ่งแวดล้อมจังหวัด",ยังไม่เริ่ม,,,,
7,หมวด 1: การจัดการแหล่งท่องเที่ยว,ด้านที่ 2: การวางแผนและการพัฒนา,นโยบายหรือยุทธศาสตร์ด้านการจัดการแหล่งท่องเที่ยว,"เทศบาลเมืองอุทัยธานี, สำนักงานจังหวัดอุทัยธานี, สำนักงานทรัพยากรธรรมชาติและสิ่งแวดล้อมจังหวัด",ยังไม่เริ่ม,,,,
8,หมวด 1: การจัดการแหล่งท่องเที่ยว,ด้านที่ 2: การวางแผนและการพัฒนา,แผนปฏิบัติการด้านการท่องเที่ยว,"เทศบาลเมืองอุทัยธานี, สำนักงานจังหวัดอุทัยธานี, สำนักงานการท่องเที่ยวและกีฬา, ททท.สำนักงานอุทัยธานี",ยังไม่เริ่ม,,,,
9,หมวด 1: การจัดการแหล่งท่องเที่ยว,ด้านที่ 2: การวางแผนและการพัฒนา,ความโปร่งใสและการบังคับใช้กฎระเบียบ,"เทศบาลเมืองอุทัยธานี, สำนักงานจังหวัด, สำนักงานทรัพยากรธรรมชาติฯ, สำนักงานการท่องเที่ยวและกีฬา, ททท.สำนักงานอุทัยธานี",ยังไม่เริ่ม,,,,
10,หมวด 1: การจัดการแหล่งท่องเที่ยว,ด้านที่ 3: การจัดการนักท่องเที่ยว,การติดตามเฝ้าสังเกตนักท่องเที่ยว,"สำนักงานสถิติจังหวัด, สำนักงานการท่องเที่ยวและกีฬา, ททท.สำนักงานอุทัยธานี",ยังไม่เริ่ม,,,,
